score_id,deal_id,score,next_best_action
157,157,90.75,Coordinate final contract execution steps
158,158,64.95,Arrange technical integration demo session
159,159,78.2,Validate implementation timeline with PM
160,160,55.4,Conduct formal proposal walkthrough
161,161,88.45,Prepare and submit pricing approval request
162,162,43.1,Schedule discovery call with new stakeholder
163,163,73.85,Deliver updated solution architecture doc
164,164,60.1,Arrange customer reference site visit
165,165,84.6,Confirm contract terms with legal counsel
166,166,47.35,Re-engage with product innovation briefing
167,167,91.25,Execute final order form and obtain PO
168,168,65.5,Schedule enablement and training planning
169,169,76.95,Validate final pricing with finance team
170,170,52.3,Conduct risk and mitigation review session
171,171,87.05,Present board-approved commercial proposal
172,172,44.4,Identify expansion opportunity in account
173,173,72.15,Schedule partner co-sell alignment meeting
174,174,59.6,Send updated data processing agreement
175,175,83.75,Confirm go-live date with implementation lead
176,176,39.45,Qualify inbound interest from new contact
177,177,80.5,Deliver executive presentation for approval
178,178,66.25,Arrange product integration testing session
179,179,77,Validate contract terms with legal team
180,180,53.8,Conduct business case validation workshop
181,181,89.25,Finalize enterprise license agreement terms
182,182,42.55,Re-engage with updated industry insights
183,183,74.2,Schedule final commercial review session
184,184,61.05,Send implementation resource plan
185,185,85.9,Confirm board-level approval for renewal
186,186,48.3,Follow up on pending security review
187,187,92.6,Coordinate contract countersignature process
188,188,67.45,Arrange technical readiness review session
189,189,76.55,Validate pilot success metrics with client
190,190,54.2,Conduct formal procurement alignment session
191,191,88.15,Prepare and deliver final executive briefing
192,192,41.35,Identify new budget owner and re-engage
193,193,73.6,Schedule multi-stakeholder consensus call
194,194,60.8,Deliver competitive differentiation analysis
195,195,84.35,Confirm final commercial approval from VP
196,196,46.75,Re-engage with refreshed ROI business case
197,197,91.8,Execute final contract and process order
198,198,65.05,Schedule post-close onboarding planning
199,199,77.5,Validate final solution scope with CTO
200,200,51.55,Conduct formal deal review with sales team
